"","Year","Month","Day","Hour","Minute","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","TIDE"
"1",2007,1,4,0,0,NA,2,5.2,1.12,7.69,6.08,NA,1030.5,NA,21.5,NA,NA,NA
"2",2007,1,4,1,0,NA,3,4.4,1.12,6.67,5.92,NA,1030.4,NA,21.5,NA,NA,NA
"3",2007,1,4,2,0,NA,3.2,5.6,1.05,7.14,5.88,NA,1030.5,17.6,21.5,9.6,NA,NA
"4",2007,1,4,3,0,NA,3.6,5.6,1.05,7.69,6.08,NA,1030.4,17.6,NA,9.1,NA,NA
"5",2007,1,4,4,0,152,3.7,6.8,1.03,6.67,6.27,NA,1029.9,17.5,21.5,9.5,NA,NA
"6",2007,1,4,5,0,160,3.7,5.7,0.98,9.09,6.19,NA,1029,17.4,21.5,8.5,NA,NA
"7",2007,1,4,6,0,198,3.6,5,0.97,8.33,6.04,NA,1029,17.3,21.5,9.5,NA,NA
"8",2007,1,4,7,0,168,2.3,3.5,0.96,8.33,5.99,NA,1029,17.5,21.5,9.2,NA,NA
"9",2007,1,4,8,0,159,4.4,7.1,0.92,7.14,5.92,NA,1028.8,18,21.5,10,NA,NA
"10",2007,1,4,9,0,175,3.8,5.5,0.94,6.67,5.87,NA,1028.3,18,21.5,9.7,NA,NA
"11",2007,1,4,10,0,151,3.5,5.6,0.95,7.69,5.82,NA,1028.4,18,21.5,9.7,NA,NA
"12",2007,1,4,11,0,164,3.4,5,0.93,8.33,6,NA,1028.4,18.2,21.5,9.9,NA,NA
"13",2007,1,4,12,0,157,3.9,6.5,0.89,12.5,6.16,NA,1028.6,18.3,21.5,10.5,NA,NA
"14",2007,1,4,13,0,199,2.5,4.2,0.8,8.33,5.39,NA,1028.9,18.4,21.4,9,NA,NA
"15",2007,1,4,14,0,180,5.2,6.9,0.86,12.5,5.53,NA,1029,18.8,21.5,9.1,NA,NA
"16",2007,1,4,15,0,162,4.6,6.7,0.86,8.33,5.27,NA,1029,19.1,21.5,11.1,NA,NA
"17",2007,1,4,16,0,145,4.7,6.1,0.88,8.33,6.06,NA,1028.2,19.1,21.4,11.1,NA,NA
"18",2007,1,4,17,0,176,6.2,7.9,0.85,8.33,5.58,NA,1026.8,19.5,21.4,10.8,NA,NA
"19",2007,1,4,18,0,183,6.7,9.4,0.95,7.69,4.88,NA,1025.6,19.7,21.4,11,NA,NA
"20",2007,1,4,19,0,170,6.4,8.3,1.01,7.69,4.42,NA,1025.9,19.4,21.5,13.5,NA,NA
"21",2007,1,4,20,0,160,6,7.3,1.09,3.57,4.43,NA,1025.9,19.1,21.4,13.4,NA,NA
"22",2007,1,4,21,0,163,6.3,11,1.04,3.85,4.44,NA,1025.9,19.1,21.4,13.9,NA,NA
"23",2007,1,4,22,0,159,7.4,8.6,1.01,4,4.53,NA,1025.9,19.1,21.4,14.5,NA,NA
"24",2007,1,4,23,0,143,7.8,9.1,1.1,4,4.36,NA,1025.6,19.1,21.2,14.9,NA,NA
