"","Year","Month","Day","Hour","Minute","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","TIDE"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2007,1,7,6,0,291,7,8.8,2.51,8.33,6.37,NA,1020.1,21.4,21.2,18.2,NA,NA
"80",2007,1,7,7,0,291,6.8,8,2.32,7.69,6.1,NA,1020.5,21.2,21.2,15.7,NA,NA
"81",2007,1,7,8,0,310,5.8,6.9,2.28,8.33,6.34,NA,1021.1,21.1,21.2,15.6,NA,NA
"82",2007,1,7,9,0,317,6.7,7.9,2.32,9.09,6.15,NA,1021.7,21,21.1,15.4,NA,NA
"83",2007,1,7,10,0,318,5.6,6.8,2.39,8.33,6.24,NA,1022.3,20.7,21.1,14.4,NA,NA
"84",2007,1,7,11,0,299,3.6,4.3,2.16,8.33,6.11,NA,1022.9,20.6,21.1,14.7,NA,NA
"85",2007,1,7,12,0,304,3,3.8,2.2,8.33,6.16,NA,1023.6,20.6,21.1,14.9,NA,NA
"86",2007,1,7,13,0,337,3.3,4.1,2,8.33,5.8,NA,1024.2,20.7,21.1,14.9,NA,NA
"87",2007,1,7,14,0,357,3.9,4.8,2.01,8.33,6.03,NA,1025.2,21.1,21.1,14.1,NA,NA
"88",2007,1,7,15,0,354,3.4,4.1,2.04,7.69,6.13,NA,1025.7,21.2,21.1,14,NA,NA
"124",2007,1,9,3,0,297,12.5,15.2,3.74,9.09,6.71,NA,1009.9,20.4,21.2,15.4,NA,NA
"125",2007,1,9,4,0,309,11.8,13.9,3.98,9.09,6.63,NA,1010.3,18.8,21.2,14.3,NA,NA
"126",2007,1,9,5,0,308,11.7,16.2,3.94,9.09,6.68,NA,1010.7,17.8,21.2,11.4,NA,NA
"127",2007,1,9,6,0,308,10.7,12.9,3.57,9.09,6.61,NA,1011.7,16.8,21.1,9.8,NA,NA
"128",2007,1,9,7,0,305,11,13,3.35,9.09,6.4,NA,1012.6,16.2,21.1,8.6,NA,NA
"129",2007,1,9,8,0,310,9.4,11.8,3.15,10,6.5,NA,1013,15.8,21.1,6.1,NA,NA
"130",2007,1,9,9,0,310,8.8,11.1,3.57,9.09,6.83,NA,1013.3,15.6,21.1,8.1,NA,NA
"131",2007,1,9,10,0,310,8,9.9,3.16,9.09,6.62,NA,1014,15.2,20.9,5.3,NA,NA
"132",2007,1,9,11,0,296,8.3,10.3,3.37,9.09,6.83,NA,1014.4,15,20.7,6.1,NA,NA
"133",2007,1,9,12,0,295,8.5,10.8,3.21,8.33,6.69,NA,1015,14.9,20.7,5.2,NA,NA
"134",2007,1,9,13,0,283,6.6,10.2,3.18,7.69,6.66,NA,1015.8,14.8,20.7,3.7,NA,NA
